Ward,AGE_INDEX,INCOME_INDEX,EDUCATION_INDEX,PERCENTAGE_WHITE,PERCENTAGE_FAMILY,HOUSEHOLDS
19100001,5,2,4,2,4,4
19100002,4,2,4,3,4,4
19100003,3,1,2,5,5,5
19100004,3,1,3,5,3,3
19100005,3,2,3,6,4,4
19100006,3,2,3,6,3,3
19100007,3,1,3,6,4,4
19100008,3,2,3,6,5,5
19100009,3,1,3,6,4,4
19100010,3,1,3,2,4,4
19100011,4,2,4,4,3,3
19100012,4,1,4,2,4,4
19100013,3,2,3,5,4,4
19100014,3,1,3,6,4,4
19100015,4,2,3,3,4,4
19100016,5,2,4,2,3,3
19100017,5,2,4,2,3,3
19100018,4,1,3,2,3,3
19100019,4,1,4,2,5,5
19100020,4,1,4,2,4,4
19100021,5,2,4,2,2,2
19100022,5,2,5,2,3,3
19100023,4,2,3,4,3,3
19100024,4,2,4,2,3,3
19100025,5,2,5,2,3,3
19100026,3,2,3,5,4,4
19100027,3,2,3,6,4,4
19100028,5,2,5,2,2,2
19100029,5,2,5,2,2,2
19100030,4,2,4,3,3,3
19100031,5,2,5,2,2,2
19100032,5,2,5,2,2,2
19100033,4,1,3,2,6,6
19100034,3,1,3,2,3,3
19100035,3,1,3,2,3,3
19100036,4,1,4,2,3,3
19100037,4,1,3,2,2,2
19100038,5,1,5,2,2,2
19100039,4,1,3,2,2,2
19100040,4,1,3,2,3,3
19100041,5,2,5,2,2,2
19100042,5,2,5,2,2,2
19100043,3,1,3,2,3,3
19100044,4,1,4,2,2,2
19100045,5,2,5,2,3,3
19100046,4,2,4,2,3,3
19100047,5,2,4,2,3,3
19100048,4,2,4,2,3,3
19100049,4,2,4,2,3,3
19100050,5,2,5,2,3,3
19100051,3,1,3,2,3,3
19100052,3,1,3,2,3,3
19100053,3,1,3,5,3,3
19100054,4,2,4,3,3,3
19100055,4,2,4,4,3,3
19100056,3,2,3,4,3,3
19100057,2,1,2,6,3,3
19100058,2,1,2,6,4,4
19100059,3,1,3,5,3,3
19100060,3,1,3,6,3,3
19100061,3,1,3,5,4,4
19100062,3,1,3,5,3,3
19100063,4,2,3,3,3,3
19100064,3,1,3,4,4,4
19100065,5,2,4,2,3,3
19100066,4,2,4,2,3,3
19100067,4,2,4,2,3,3
19100068,5,2,5,2,2,2
19100069,3,2,3,4,4,4
19100070,3,1,3,5,4,4
19100071,4,2,4,4,3,3
19100072,3,2,3,5,3,3
19100073,3,1,3,6,3,3
19100074,3,1,3,4,3,3
19100075,4,1,4,2,4,4
19100076,5,2,4,2,3,3
19100077,5,2,5,2,3,3
19100078,4,2,4,2,3,3
19100079,5,2,5,2,3,3
19100080,4,2,4,2,4,4
19100081,5,2,5,2,3,3
19100082,5,2,5,2,3,3
19100083,4,2,4,2,3,3
19100084,3,1,3,6,3,3
19100085,3,1,3,5,3,3
19100086,2,1,2,5,4,4
19100087,3,1,3,2,3,3
19100088,4,1,4,2,3,3
19100089,5,1,4,2,2,2
19100090,4,1,3,2,3,3
19100091,4,1,3,2,3,3
19100092,4,1,3,2,3,3
19100093,4,1,4,2,3,3
19100094,4,1,4,2,2,2
19100095,4,1,4,2,3,3
19100096,4,1,4,2,3,3
19100097,3,1,3,2,4,4
19100098,4,1,3,2,3,3
19100099,4,1,4,2,4,4
19100100,4,2,4,3,3,3
19100101,5,2,4,2,4,4
19100102,4,2,4,3,4,4
19100103,3,1,2,5,5,5
19100104,3,1,3,5,3,3
19100105,3,2,3,6,4,4
19100106,3,2,3,6,3,3
19100107,3,1,3,6,4,4
19100108,3,2,3,6,5,5
19100109,3,1,3,6,4,4
19100110,3,1,3,2,4,4
19100111,4,2,4,4,3,3
19100112,4,1,4,2,4,4
19100113,3,2,3,5,4,4
19100114,3,1,3,6,4,4
19100115,4,2,3,3,4,4
19100116,5,2,4,2,3,3
19100117,5,2,4,2,3,3
19100118,4,1,3,2,3,3
19100119,4,1,4,2,5,5
19100120,4,1,4,2,4,4
19100121,5,2,4,2,2,2
19100122,5,2,5,2,3,3
19100123,4,2,3,4,3,3
19100124,4,2,4,2,3,3
19100125,5,2,5,2,3,3
19100126,3,2,3,5,4,4
19100127,3,2,3,6,4,4
19100128,5,2,5,2,2,2
19100129,5,2,5,2,2,2
19100130,4,2,4,3,3,3
19100131,5,2,5,2,2,2
19100132,5,2,5,2,2,2
19100133,4,1,3,2,6,6
19100134,3,1,3,2,3,3
19100135,3,1,3,2,3,3
19100136,4,1,4,2,3,3
19100137,4,1,3,2,2,2
19100138,5,1,5,2,2,2
19100139,4,1,3,2,2,2
19100140,4,1,3,2,3,3
19100141,5,2,5,2,2,2
19100142,5,2,5,2,2,2
19100143,3,1,3,2,3,3
19100144,4,1,4,2,2,2
19100145,5,2,5,2,3,3
19100146,4,2,4,2,3,3
19100147,5,2,4,2,3,3
19100148,4,2,4,2,3,3
19100149,4,2,4,2,3,3
19100150,5,2,5,2,3,3
19100151,3,1,3,2,3,3
19100152,3,1,3,2,3,3
19100153,3,1,3,5,3,3
19100154,4,2,4,3,3,3
19100155,4,2,4,4,3,3
19100156,3,2,3,4,3,3
19100157,2,1,2,6,3,3
19100158,2,1,2,6,4,4
19100159,3,1,3,5,3,3
19100160,3,1,3,6,3,3
19100161,3,1,3,5,4,4
19100162,3,1,3,5,3,3
19100163,4,2,3,3,3,3
19100164,3,1,3,4,4,4
19100165,5,2,4,2,3,3
19100166,4,2,4,2,3,3
19100167,4,2,4,2,3,3
19100168,5,2,5,2,2,2
19100169,3,2,3,4,4,4
19100170,3,1,3,5,4,4
19100171,4,2,4,4,3,3
19100172,3,2,3,5,3,3
19100173,3,1,3,6,3,3
19100174,3,1,3,4,3,3
19100175,4,1,4,2,4,4
19100176,5,2,4,2,3,3
19100177,5,2,5,2,3,3
19100178,4,2,4,2,3,3
19100179,5,2,5,2,3,3
19100180,4,2,4,2,4,4
19100181,5,2,5,2,3,3
19100182,5,2,5,2,3,3
19100183,4,2,4,2,3,3
19100184,3,1,3,6,3,3
19100185,3,1,3,5,3,3
19100186,2,1,2,5,4,4
19100187,3,1,3,2,3,3
19100188,4,1,4,2,3,3
19100189,5,1,4,2,2,2
19100190,4,1,3,2,3,3
19100191,4,1,3,2,3,3
19100192,4,1,3,2,3,3
19100193,4,1,4,2,3,3
19100194,4,1,4,2,2,2
19100195,4,1,4,2,3,3
19100196,4,1,4,2,3,3
19100197,3,1,3,2,4,4
19100198,4,1,3,2,3,3
19100199,4,1,4,2,4,4
19100200,4,2,4,3,3,3
19100201,5,2,4,2,4,4
19100202,4,2,4,3,4,4
19100203,3,1,2,5,5,5
19100204,3,1,3,5,3,3
19100205,3,2,3,6,4,4
19100206,3,2,3,6,3,3
19100207,3,1,3,6,4,4
19100208,3,2,3,6,5,5
19100209,3,1,3,6,4,4
19100210,3,1,3,2,4,4
19100211,4,2,4,4,3,3
19100212,4,1,4,2,4,4
19100213,3,2,3,5,4,4
19100214,3,1,3,6,4,4
19100215,4,2,3,3,4,4
19100216,5,2,4,2,3,3
19100217,5,2,4,2,3,3
19100218,4,1,3,2,3,3
19100219,4,1,4,2,5,5
19100220,4,1,4,2,4,4
19100221,5,2,4,2,2,2
19100222,5,2,5,2,3,3
19100223,4,2,3,4,3,3
19100224,4,2,4,2,3,3
19100225,5,2,5,2,3,3
19100226,3,2,3,5,4,4
19100227,3,2,3,6,4,4
19100228,5,2,5,2,2,2
19100229,5,2,5,2,2,2
19100230,4,2,4,3,3,3
19100231,5,2,5,2,2,2
19100232,5,2,5,2,2,2
19100233,4,1,3,2,6,6
19100234,3,1,3,2,3,3
19100235,3,1,3,2,3,3
19100236,4,1,4,2,3,3
19100237,4,1,3,2,2,2
19100238,5,1,5,2,2,2
19100239,4,1,3,2,2,2
19100240,4,1,3,2,3,3
19100241,5,2,5,2,2,2
19100242,5,2,5,2,2,2
19100243,3,1,3,2,3,3
19100244,4,1,4,2,2,2
19100245,5,2,5,2,3,3
19100246,4,2,4,2,3,3
19100247,5,2,4,2,3,3
19100248,4,2,4,2,3,3
19100249,4,2,4,2,3,3
19100250,5,2,5,2,3,3
19100251,3,1,3,2,3,3
19100252,3,1,3,2,3,3
19100253,3,1,3,5,3,3
19100254,4,2,4,3,3,3
19100255,4,2,4,4,3,3
19100256,3,2,3,4,3,3
19100257,2,1,2,6,3,3
19100258,2,1,2,6,4,4
19100259,3,1,3,5,3,3
19100260,3,1,3,6,3,3
19100261,3,1,3,5,4,4
19100262,3,1,3,5,3,3
19100263,4,2,3,3,3,3
19100264,3,1,3,4,4,4
19100265,5,2,4,2,3,3
19100266,4,2,4,2,3,3
19100267,4,2,4,2,3,3
19100268,5,2,5,2,2,2
19100269,3,2,3,4,4,4
19100270,3,1,3,5,4,4
19100271,4,2,4,4,3,3
19100272,3,2,3,5,3,3
19100273,3,1,3,6,3,3
19100274,3,1,3,4,3,3
19100275,4,1,4,2,4,4
19100276,5,2,4,2,3,3
19100277,5,2,5,2,3,3
19100278,4,2,4,2,3,3
19100279,5,2,5,2,3,3
19100280,4,2,4,2,4,4
19100281,5,2,5,2,3,3
19100282,5,2,5,2,3,3
19100283,4,2,4,2,3,3
19100284,3,1,3,6,3,3
19100285,3,1,3,5,3,3
19100286,2,1,2,5,4,4
19100287,3,1,3,2,3,3
19100288,4,1,4,2,3,3
19100289,5,1,4,2,2,2
19100290,4,1,3,2,3,3
19100291,4,1,3,2,3,3
19100292,4,1,3,2,3,3
19100293,4,1,4,2,3,3
19100294,4,1,4,2,2,2
19100295,4,1,4,2,3,3
19100296,4,1,4,2,3,3
19100297,3,1,3,2,4,4
19100298,4,1,3,2,3,3
19100299,4,1,4,2,4,4
19100300,4,2,4,3,3,3
19100301,5,2,4,2,4,4
19100302,4,2,4,3,4,4
19100303,3,1,2,5,5,5
19100304,3,1,3,5,3,3
19100305,3,2,3,6,4,4
19100306,3,2,3,6,3,3
19100307,3,1,3,6,4,4
19100308,3,2,3,6,5,5
19100309,3,1,3,6,4,4
19100310,3,1,3,2,4,4
19100311,4,2,4,4,3,3
19100312,4,1,4,2,4,4
19100313,3,2,3,5,4,4
19100314,3,1,3,6,4,4
19100315,4,2,3,3,4,4
19100316,5,2,4,2,3,3
19100317,5,2,4,2,3,3
19100318,4,1,3,2,3,3
19100319,4,1,4,2,5,5
19100320,4,1,4,2,4,4
19100321,5,2,4,2,2,2
19100322,5,2,5,2,3,3
19100323,4,2,3,4,3,3
19100324,4,2,4,2,3,3
19100325,5,2,5,2,3,3
19100326,3,2,3,5,4,4
19100327,3,2,3,6,4,4
19100328,5,2,5,2,2,2
19100329,5,2,5,2,2,2
19100330,4,2,4,3,3,3
19100331,5,2,5,2,2,2
19100332,5,2,5,2,2,2
19100333,4,1,3,2,6,6
19100334,3,1,3,2,3,3
19100335,3,1,3,2,3,3
19100336,4,1,4,2,3,3
19100337,4,1,3,2,2,2
19100338,5,1,5,2,2,2
19100339,4,1,3,2,2,2
19100340,4,1,3,2,3,3
19100341,5,2,5,2,2,2
19100342,5,2,5,2,2,2
19100343,3,1,3,2,3,3
19100344,4,1,4,2,2,2
19100345,5,2,5,2,3,3
19100346,4,2,4,2,3,3
19100347,5,2,4,2,3,3
19100348,4,2,4,2,3,3
19100349,4,2,4,2,3,3
19100350,5,2,5,2,3,3
19100351,3,1,3,2,3,3
19100352,3,1,3,2,3,3
19100353,3,1,3,5,3,3
19100354,4,2,4,3,3,3
19100355,4,2,4,4,3,3
19100356,3,2,3,4,3,3
19100357,2,1,2,6,3,3
19100358,2,1,2,6,4,4
19100359,3,1,3,5,3,3
19100360,3,1,3,6,3,3
19100361,3,1,3,5,4,4
19100362,3,1,3,5,3,3
19100363,4,2,3,3,3,3
19100364,3,1,3,4,4,4
19100365,5,2,4,2,3,3
19100366,4,2,4,2,3,3
19100367,4,2,4,2,3,3
19100368,5,2,5,2,2,2
19100369,3,2,3,4,4,4
19100370,3,1,3,5,4,4
19100371,4,2,4,4,3,3
19100372,3,2,3,5,3,3
19100373,3,1,3,6,3,3
19100374,3,1,3,4,3,3
