Ward,AGE_INDEX,INCOME_INDEX,EDUCATION_INDEX,PERCENTAGE_WHITE,PERCENTAGE_FAMILY,HOUSEHOLDS
19100001,5,2,4,2,4,4
19100002,4,2,4,3,4,4
19100003,3,1,2,5,5,5
19100004,3,1,3,5,3,3
19100005,3,2,3,6,4,4
19100006,3,2,3,6,3,3
19100007,3,1,3,6,4,4
19100008,3,2,3,6,5,5
19100009,3,1,3,6,4,4
19100010,3,1,3,2,4,4
19100011,4,2,4,4,3,3
19100012,4,1,4,2,4,4
19100013,3,2,3,5,4,4
19100014,3,1,3,6,4,4
19100015,4,2,3,3,4,4
19100016,5,2,4,2,3,3
19100017,5,2,4,2,3,3
19100018,4,1,3,2,3,3
19100019,4,1,4,2,5,5
19100020,4,1,4,2,4,4
19100021,5,2,4,2,2,2
19100022,5,2,5,2,3,3
19100023,4,2,3,4,3,3
19100024,4,2,4,2,3,3
19100025,5,2,5,2,3,3
19100026,3,2,3,5,4,4
19100027,3,2,3,6,4,4
19100028,5,2,5,2,2,2
19100029,5,2,5,2,2,2
19100030,4,2,4,3,3,3
19100031,5,2,5,2,2,2
19100032,5,2,5,2,2,2
19100033,4,1,3,2,6,6
19100034,3,1,3,2,3,3
19100035,3,1,3,2,3,3
19100036,4,1,4,2,3,3
19100037,4,1,3,2,2,2
19100038,5,1,5,2,2,2
19100039,4,1,3,2,2,2
19100040,4,1,3,2,3,3
19100041,5,2,5,2,2,2
19100042,5,2,5,2,2,2
19100043,3,1,3,2,3,3
19100044,4,1,4,2,2,2
19100045,5,2,5,2,3,3
19100046,4,2,4,2,3,3
19100047,5,2,4,2,3,3
19100048,4,2,4,2,3,3
19100049,4,2,4,2,3,3
19100050,5,2,5,2,3,3
19100051,3,1,3,2,3,3
19100052,3,1,3,2,3,3
19100053,3,1,3,5,3,3
19100054,4,2,4,3,3,3
19100055,4,2,4,4,3,3
19100056,3,2,3,4,3,3
19100057,2,1,2,6,3,3
19100058,2,1,2,6,4,4
19100059,3,1,3,5,3,3
19100060,3,1,3,6,3,3
19100061,3,1,3,5,4,4
19100062,3,1,3,5,3,3
19100063,4,2,3,3,3,3
19100064,3,1,3,4,4,4
19100065,5,2,4,2,3,3
19100066,4,2,4,2,3,3
19100067,4,2,4,2,3,3
19100068,5,2,5,2,2,2
19100069,3,2,3,4,4,4
19100070,3,1,3,5,4,4
19100071,4,2,4,4,3,3
19100072,3,2,3,5,3,3
19100073,3,1,3,6,3,3
19100074,3,1,3,4,3,3
19100075,4,1,4,2,4,4
19100076,5,2,4,2,3,3
19100077,5,2,5,2,3,3
19100078,4,2,4,2,3,3
19100079,5,2,5,2,3,3
19100080,4,2,4,2,4,4
19100081,5,2,5,2,3,3
19100082,5,2,5,2,3,3
19100083,4,2,4,2,3,3
19100084,3,1,3,6,3,3
19100085,3,1,3,5,3,3
19100086,2,1,2,5,4,4
19100087,3,1,3,2,3,3
19100088,4,1,4,2,3,3
19100089,5,1,4,2,2,2
19100090,4,1,3,2,3,3
19100091,4,1,3,2,3,3
19100092,4,1,3,2,3,3
19100093,4,1,4,2,3,3
19100094,4,1,4,2,2,2
19100095,4,1,4,2,3,3
19100096,4,1,4,2,3,3
19100097,3,1,3,2,4,4
19100098,4,1,3,2,3,3
19100099,4,1,4,2,4,4
19100100,4,2,4,3,3,3
