Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100001,1,1,1,1,1,7,8,10,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,2,2,10,1,1,1,1,1,1,1,1,1,1,1,1,8,7,1,1,1,1,1,1,1,1,1,1,7,8,9,8,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,1,1,1,1,10,7,7,9,,,,
19100002,1,1,1,1,1,5,5,6,6,3,1,1,1,1,1,2,3,3,3,2,2,1,1,1,1,7,4,2,2,1,1,1,1,1,1,3,3,3,2,2,2,1,6,4,1,1,3,4,1,1,1,1,1,1,6,6,5,4,2,5,1,1,1,1,1,1,3,3,2,3,3,2,1,1,5,6,1,1,3,3,10,7,9,8,,,,
19100003,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,7,7,7,9,4,4,2,5,7,2,1,1,1,2,1,1,1,2,2,3,6,7,10,6,6,4,3,1,1,1,1,9,8,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,2,1,7,5,5,8,8,7,3,3,1,1,1,1,8,8,7,6,8,7,,,,
19100004,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,6,6,6,5,2,2,3,5,1,1,1,1,2,1,1,1,1,2,1,6,6,6,4,7,2,1,1,1,1,1,6,7,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,6,7,4,7,5,4,2,2,1,1,1,1,6,6,8,7,8,8,,,,
19100005,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,10,9,9,6,1,2,6,1,1,1,2,4,2,1,1,1,1,1,1,8,10,9,3,3,1,1,2,1,1,2,9,10,1,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,10,10,9,10,4,7,1,1,2,1,1,1,9,10,8,9,8,8,,,,
19100006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,8,7,1,1,2,5,1,1,1,1,3,1,1,1,2,5,1,6,7,9,8,5,1,1,1,1,1,1,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9,8,6,9,8,5,1,1,1,1,1,1,9,9,4,6,9,9,,,,
19100007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,8,9,6,1,1,2,4,1,1,1,1,4,1,1,1,1,3,1,5,7,10,10,10,1,1,1,1,1,1,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,4,7,10,6,1,1,1,1,1,1,9,9,1,5,8,8,,,,
19100008,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,10,10,8,10,4,1,1,2,4,1,3,1,2,2,1,1,1,1,1,1,8,10,10,5,6,1,1,3,1,1,1,10,9,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,10,8,7,10,8,10,1,1,2,2,1,1,10,10,9,7,9,8,,,,
19100009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,10,10,10,5,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,6,8,10,8,9,1,1,1,1,1,1,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,6,9,9,6,1,1,1,1,1,1,10,10,1,4,5,8,,,,
19100010,6,5,5,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,6,2,2,1,1,1,2,6,6,5,4,2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,2,1,1,1,1,8,7,8,9,,,,
