Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE
19100001,159,260,222,674,45,3887,8481,8087,17353,1039,21,56,41,96,3,6,12,24,60,15,319,249,3,1,1,7702,5847,404,15,82,42,12,9,1,1,27,36,3,1,1,485,141,11796,5002,57,21,48,9,292,106,478,200,12,159,9003,3440,14659,4917,657,3887,44,20,84,27,6,21,18,6,39,30,12,6,550,778,14727,24162,76,135,78,37,77,66,63,90
19100002,451,563,1004,2166,45,2457,5570,5066,11143,636,6,18,21,45,3,456,1144,939,4523,662,1448,276,54,1,3,5846,3407,258,24,1,24,48,6,1,1,511,1508,1576,204,42,1715,830,8081,3021,45,9,3400,217,1070,340,1199,425,137,451,6778,2394,8416,2670,461,2457,12,6,42,12,9,6,793,147,1496,2614,1969,456,1778,2445,9491,15448,51,49,4751,2904,77,69,83,78
19100003,1453,1799,3195,6082,83,178,280,309,1067,30,41,42,52,214,9,1629,2560,2589,13182,1491,3149,646,249,27,6,485,210,156,21,1,3,69,72,9,6,1079,4920,5665,728,129,3714,4165,769,320,181,24,11557,488,3204,953,3741,1234,548,1453,473,105,441,274,211,178,38,3,55,78,127,41,1841,256,3226,7195,6689,1629,4517,8213,802,1001,180,152,13224,8195,67,56,74,69
19100004,817,1188,1618,3335,67,325,544,452,1641,57,34,58,67,202,6,830,1947,2168,8946,1709,1705,645,117,21,3,516,678,201,21,6,39,72,42,6,3,1055,3757,3103,415,135,2290,1087,1334,214,160,18,7400,439,1997,431,1972,982,390,817,590,183,1010,546,225,325,41,11,111,82,67,34,1445,320,3215,5635,3827,830,2519,4571,1372,1622,179,164,9581,6001,68,70,78,71
19100005,187,292,416,1327,24,443,789,850,3137,69,47,73,55,238,3,1572,3773,3577,14209,2090,210,431,303,3,3,395,1061,623,18,1,9,99,48,1,1,1477,6587,4747,285,63,927,94,1986,129,195,33,12013,627,342,89,485,526,511,187,960,315,1679,1225,452,443,56,8,106,129,60,47,2749,523,7122,9059,3499,1572,817,1458,2369,2889,228,214,15091,10101,69,83,74,76
19100006,51,97,90,498,30,86,192,258,980,42,40,87,122,291,9,1013,3105,3792,12715,2418,234,99,96,18,1,506,249,204,33,1,24,108,93,18,3,949,4254,5008,902,108,480,15,956,17,206,6,10209,292,133,40,190,154,153,51,271,98,447,336,232,86,60,19,90,186,136,40,2244,410,4378,7536,6951,1013,335,403,633,959,289,256,13823,9218,52,53,87,81
19100007,35,89,93,544,24,159,367,430,1311,33,8,30,36,126,3,1414,3177,3175,13443,2340,332,99,63,15,3,936,243,171,45,1,6,24,39,12,1,920,4296,5577,1236,201,521,18,1325,72,102,3,11068,271,152,60,190,119,171,35,648,171,589,286,280,159,27,1,23,55,84,8,2287,369,3208,6357,9194,1414,336,459,937,1382,85,90,14268,9280,41,49,80,76
19100008,405,643,634,1622,57,743,1446,1322,3792,183,21,40,28,113,6,2360,3826,3401,16366,1550,848,169,76,15,3,2091,895,333,27,1,21,30,36,1,1,1419,7064,5908,570,117,1103,533,3204,594,84,12,14154,583,1009,270,761,257,127,405,1859,600,2043,805,397,743,29,13,51,36,42,21,2699,399,5091,9302,6801,2360,1412,1960,3262,4258,97,92,16835,10638,74,68,87,80
19100009,26,39,71,340,24,78,139,194,846,30,3,16,12,63,6,1327,3692,4303,14786,1817,191,78,73,15,1,489,162,168,12,6,1,24,18,1,1,1077,5506,5850,907,183,332,15,834,24,39,1,12328,328,88,15,128,110,97,26,240,116,345,271,178,78,12,3,21,33,24,3,2661,485,4277,8349,8271,1327,225,245,521,744,40,50,15276,10710,43,33,50,79
19100010,3064,4484,6077,12039,229,583,1006,842,2430,93,8,12,6,18,1,99,227,348,1051,116,5444,620,30,3,3,1085,511,135,6,3,1,15,1,1,1,230,500,102,6,1,5343,8020,1533,856,12,1,713,121,7723,2202,7432,1994,308,3064,1482,387,1277,535,94,583,6,3,21,3,3,8,192,39,794,576,88,99,8669,17263,1939,3018,18,21,1027,778,71,68,75,83
19100011,36,97,121,252,36,1517,3283,3671,8754,796,12,33,22,66,6,596,1505,1556,5246,671,78,114,30,1,1,3031,3624,590,27,9,6,30,6,3,1,815,2830,1049,48,12,222,34,6554,1575,48,13,4112,287,91,20,165,125,63,36,3444,1146,6447,3749,846,1517,33,9,45,31,3,12,1129,217,3380,3171,758,596,214,314,7408,10632,63,85,5555,4000,75,70,78,80
19100012,1511,1967,3134,5682,75,1821,4154,3898,8688,490,9,30,27,66,6,207,436,350,1500,147,2532,441,57,6,3,3955,2786,434,27,15,24,30,3,1,1,136,774,459,27,3,2777,3587,6072,2251,57,12,1251,68,3566,1044,3956,1006,209,1511,4972,1446,5825,2341,639,1821,27,4,39,42,15,9,309,59,595,994,404,207,4274,8111,7288,11759,57,77,1522,1109,70,67,33,86
19100013,106,133,220,535,24,1078,2407,2413,5934,238,17,39,27,84,3,960,2422,2743,9382,1394,210,246,108,6,1,2176,2616,815,48,6,3,45,27,1,1,903,4794,2870,216,27,518,71,5213,602,78,9,7888,421,219,44,223,191,182,106,2640,813,3807,2526,618,1078,29,6,31,63,21,17,1695,406,4176,6085,3188,960,441,617,5400,6657,60,101,9954,6934,74,79,69,77
19100014,70,110,215,480,12,355,719,792,2464,110,21,24,20,87,3,1164,2500,3326,11433,2393,85,259,120,18,1,487,1105,674,21,1,6,24,18,3,3,1493,5958,3280,225,39,461,44,2221,126,75,1,9745,438,108,22,141,224,285,70,654,151,1128,1112,874,355,16,3,25,61,21,21,1905,328,5331,7894,3759,1164,303,581,2092,2320,77,79,12453,8389,58,70,94,72
19100015,402,690,1065,1915,81,2390,5376,4933,13247,1003,17,36,51,96,9,436,1085,1065,4307,594,774,403,99,9,1,3945,5318,1940,129,18,15,42,24,3,3,555,2196,1170,123,4,1150,842,10481,2006,81,18,3522,157,853,243,1159,800,312,402,5430,1606,8466,4536,3086,2390,33,8,56,61,27,17,764,140,1820,2771,1338,436,1541,2613,11832,15095,124,108,4535,2951,62,72,91,81
