Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100001,1,1,1,3,4,4,14,28,66,40,1,2,2,3,2,1,1,1,2,2,1,1,1,1,1,2,3,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,4,5,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,2,96,4,2
19100002,1,2,3,7,4,3,9,17,39,24,1,1,1,2,2,2,6,7,22,18,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,3,3,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,3,2,3,12,55,3,34
19100003,2,3,6,13,5,1,1,2,3,2,1,1,2,3,2,3,8,12,41,25,1,1,2,3,2,1,1,1,1,1,1,1,1,2,2,1,2,3,3,3,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,1,1,1,1,1,1,2,2,2,2,2,2,23,5,6,70
19100004,2,3,4,11,6,1,2,2,7,3,1,2,2,4,2,3,10,15,43,45,1,1,2,3,1,1,1,1,2,1,1,1,1,2,2,2,2,3,3,5,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,1,1,1,1,1,1,2,2,2,3,2,3,15,9,7,72
19100005,1,1,2,4,2,1,2,3,10,3,1,2,2,4,2,4,14,20,54,43,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,2,2,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,4,5,3,5,1,1,1,1,1,1,2,3,2,3,2,2,3,10,7,85
19100006,1,1,1,2,3,1,1,2,4,2,1,2,3,5,2,3,13,24,55,57,1,1,2,3,1,1,1,1,2,1,1,1,1,3,2,2,2,4,4,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,4,1,1,1,1,1,1,2,3,1,2,2,3,2,5,9,88
19100007,1,1,1,2,2,1,1,2,5,2,1,1,1,3,2,3,12,18,51,48,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,4,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,6,4,1,1,1,1,1,1,2,3,1,2,2,2,3,8,4,90
19100008,1,2,2,4,4,1,2,4,10,5,1,1,1,2,2,4,12,16,51,27,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,3,3,2,3,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,4,4,6,1,1,1,1,1,1,2,3,2,2,2,2,6,15,3,80
19100009,1,1,1,2,2,1,1,1,3,2,1,1,1,2,2,3,14,24,57,39,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,4,1,1,1,1,1,1,2,3,1,2,1,3,2,7,3,92
19100010,4,10,18,46,24,2,3,4,11,5,1,1,1,2,2,1,2,4,7,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,3,3,3,2,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,2,3,76,17,2,8
