Ward,AGE_INDEX,INCOME_INDEX,EDUCATION_INDEX,PERCENTAGE_WHITE,PERCENTAGE_FAMILY,HOUSEHOLDS
19100001,B,B,B,F,F,B
19100002,B,B,B,E,E,B
19100003,B,B,B,E,E,C
19100004,C,C,C,C,D,D
19100005,A,A,A,F,E,B
19100006,A,A,A,B,C,B
19100007,B,B,B,A,D,B
19100008,C,C,C,E,E,D
19100009,B,B,A,A,C,A
19100010,B,B,B,B,D,B
19100011,C,C,C,B,D,C
19100012,C,C,C,A,C,B
19100013,D,D,D,A,C,C
19100014,D,D,D,B,D,C
19100015,A,A,A,F,F,B
19100016,D,D,D,A,C,C
19100017,C,C,D,A,C,B
19100018,A,A,A,A,B,A
19100019,E,E,E,A,C,D
19100020,C,C,C,A,C,C
19100021,A,A,A,F,F,B
19100022,B,B,B,A,C,B
19100023,B,B,C,F,F,D
19100024,B,B,B,A,C,A
19100025,C,C,C,A,C,B
19100026,B,B,B,C,D,B
19100027,B,B,B,D,E,B
19100028,B,B,B,A,C,B
19100029,D,D,D,A,C,B
19100030,C,C,C,B,C,B
19100031,C,C,C,A,C,B
19100032,C,C,C,A,C,C
19100033,D,D,D,A,B,D
19100034,C,C,C,A,B,C
19100035,C,C,C,A,B,C
19100036,C,C,C,A,B,C
19100037,A,A,A,A,A,A
19100038,A,A,A,A,A,A
19100039,A,A,A,A,B,B
19100040,B,B,B,A,B,B
19100041,A,A,A,A,A,A
19100042,B,B,B,A,B,B
19100043,C,C,D,A,D,C
19100044,C,C,C,A,C,B
19100045,C,C,C,A,B,B
19100046,B,B,C,A,C,B
19100047,C,C,C,A,C,B
19100048,B,B,B,A,E,B
19100049,C,C,C,A,D,B
19100050,B,B,C,A,C,B
19100051,A,A,A,A,B,B
19100052,A,A,B,A,B,B
19100053,B,B,B,D,D,B
19100054,B,B,B,E,E,D
19100055,C,C,C,D,E,C
19100056,B,B,C,A,D,B
19100057,B,B,B,C,C,C
19100058,B,B,B,E,E,C
19100059,A,A,A,E,D,C
19100060,B,B,B,B,E,B
19100061,B,B,B,D,D,B
19100062,A,A,A,E,E,B
19100063,B,B,B,B,E,B
19100064,A,A,A,E,F,C
19100065,B,B,B,A,D,B
19100066,B,B,B,A,C,B
19100067,D,D,D,A,D,C
19100068,B,B,B,A,C,B
19100069,C,C,C,C,D,D
19100070,A,A,B,F,F,C
19100071,B,B,B,E,E,B
19100072,A,A,B,A,D,B
19100073,A,A,B,E,F,B
19100074,C,C,C,C,D,D
19100075,C,C,C,A,C,C
19100076,C,C,C,A,C,B
19100077,B,B,A,E,D,C
19100078,C,C,C,A,D,B
19100079,C,C,C,A,C,B
19100080,D,D,D,A,B,E
19100081,B,B,C,A,D,B
19100082,C,C,D,A,C,B
19100083,A,A,A,D,E,B
19100084,B,B,A,F,F,B
19100085,B,B,B,C,D,C
19100086,C,C,C,A,C,C
19100087,B,B,B,A,B,B
19100088,C,C,C,A,C,C
19100089,B,B,B,A,B,C
19100090,B,B,B,A,B,C
19100091,B,B,B,A,B,B
19100092,C,C,C,A,B,C
19100093,B,B,B,A,B,C
19100094,A,A,B,A,B,B
19100095,E,E,E,A,B,F
19100096,B,B,B,A,B,B
19100097,B,B,B,A,B,B
19100098,B,B,B,A,B,B
19100099,E,E,E,A,C,D
19100100,D,D,D,C,D,D
19100101,C,C,C,A,B,B
19100102,B,B,B,E,E,B
19100103,C,C,D,F,F,D
19100104,C,C,C,A,C,D
19100105,C,C,C,D,D,D
19100106,F,F,F,A,B,E
19100107,D,D,D,E,E,E
19100108,E,E,E,A,B,E
19100109,C,C,C,A,C,C
19100110,B,B,B,A,D,A
19100111,C,C,C,B,C,C
