ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE
19100001: Ward 1,126,238,294,1231,185,265.81178,510,610,2107,169,112.37135,219,200,835,54,765.0145,1614,2460,10870,3443,98,239,324,167,16,201,409,791,427,26,39,108,310,174,17,723,2390,5843,2000,201,795.46294,42.14868,1821.589,69.71841,640.29279,22.41011,9215.97277,374.68804,189.32564,30,272,351,533,46.67691,431.17888,110,693,807,936,127.74134,169.57042,35,171,350,478,29.23677,1246.79615,267,3029,6157,5768,926.68441,1058,1014,1865,1797,797,623,12750,6402,61,69,88,73
19100002: Ward 2,314,360,610,2081,243,394.63682,672,815,2719,220,33.65291,57,102,346,23,658.7815,1283,2088,8802,3121,146,430,588,126,7,260,581,1205,271,18,29,58,164,38,7,801,2688,4858,1014,94,1373.5683,146.9899,2306.40378,150.69601,303.39004,6.16764,7644.06833,375.43329,297.72363,56,322,805,801,70.99653,554.98996,144,996,1315,982,135.36021,36.55136,17,72,174,169,11.95586,992.42463,210,2804,5304,4173,645.86069,1602,2006,2376,2445,318,244,10266,5688,61,67,84,65
19100003: Ward 3,353,349,676,2610,177,372.61372,651,848,3055,173,30.48058,59,67,267,24,910.90041,1990,2813,12874,3104,154,410,773,140,36,228,580,1294,306,31,19,47,107,37,1,1076,3613,6809,1399,137,1562.07719,127.73035,2467.4693,138.29621,198.91388,17.45425,10936.1828,559.0762,278.72107,40,412,851,902,109.10909,554.61988,107,870,1378,1101,157.07737,54.24576,4,53,117,120,19.80868,1537.32476,305,4168,7877,4989,1055.61137,1772,2393,2515,2585,250,198,14046,7645,59,64,72,67
19100004: Ward 4,2461,2748,4015,10576,223,454.50478,846,849,2970,131,84.99514,133,172,816,43,727.29363,1193,1579,8268,1455,3482,4549,1584,435,48,340,805,1108,273,17,36,121,319,202,15,481,1536,4238,1895,160,8790.16867,2280.42472,2402.16454,323.31959,666.3688,45.11458,7402.14554,382.87819,2981.02116,627,5917,4577,2483,259.12069,780.04285,191,1408,1326,820,103.46235,104.78314,16,158,241,564,35.59635,885.66453,158,1783,3898,4727,584.18273,8086,11937,2556,2694,744,506,8522,4700,67,60,70,66
19100005: Ward 5,172,243,361,1341,81,296.60388,453,669,2467,150,19.58495,39,54,178,11,766.66984,1673,2506,10408,2410,70,143,319,87,11,113,262,603,239,18,13,17,81,31,0,1056,2734,5273,1305,102,664.03854,61.57857,1221.51426,91.61189,149.80135,13.17787,8771.98133,580.92127,174.94514,36,252,370,326,42.11128,338.87409,74,504,686,514,90.06481,36.68932,0,35,91,75,12.42356,1270.44524,308,4286,6100,3559,1108.05321,768,1430,1570,2465,162,141,11487,6277,69,74,81,69
19100006: Ward 6,1463,1936,2715,5603,156,966.49138,1622,1711,4559,242,4.68932,8,10,33,1,113.71601,291,325,1280,163,2755,1706,337,46,16,1219,1479,1024,98,11,7,9,9,0,0,72,284,666,139,12,3859.59486,1581.08418,3581.90395,789.11956,27.47471,3.74408,1114.56822,40.37503,2693.23158,640,4306,1912,376,61.81476,1962.87072,444,2769,1974,599,100.45521,11.17233,2,14,14,6,1.26615,230.6533,36,372,783,452,143.99007,4092,7781,3904,5196,20,37,1344,829,65,68,84,74
19100007: Ward 7,178,249,335,911,69,2582.09142,4328,5037,14147,1360,16.41262,16,36,114,2,44.37621,86,182,599,190,154,238,253,39,5,3514,4420,3673,281,43,9,21,37,9,0,95,201,233,32,3,674.34911,78.6871,10320.61168,1579.97434,82.65725,15.03069,503.79661,24.7793,254.22012,73,414,403,271,23.82765,5165.33332,1453,8903,5889,2489,339.32288,12.34466,6,39,56,45,2.26615,68.55097,19,344,291,143,31.01023,738,1003,12105,15349,99,86,728,374,67,65,81,72
19100008: Ward 8,768,777,1150,3326,189,739.11194,1166,1167,4256,285,16.41262,28,58,166,9,1570.71832,2465,2529,14061,2537,765,733,768,221,25,515,654,1903,586,79,7,44,69,15,4,1068,3199,7848,1549,143,2439.37321,520.85919,3609.95485,271.97966,149.24084,8.43379,12486.37356,537.18363,939.46009,219,1515,1213,1114,110.31015,1135.63687,211,1372,1787,1887,225.33164,22.51699,4,40,95,83,6,1875.74284,314,3798,8082,5685,1317.01773,2605,3605,3969,3645,153,124,15278,7885,65,70,79,73
19100009: Ward 9,185,232,3497,1437,76,1899.84416,3418,4485,10938,1529,11.7233,46,73,125,23,0,3,78,49,15,165,243,133,9,1,4374,4390,1977,191,30,29,38,32,4,1,3,13,11,1,1,511.85453,132.9124,7514.80242,1903.66035,84.3797,13.60143,20.87211,6.0589,336.03885,36,264,328,185,25.42027,4077.5514,1215,8058,4046,1433,223.0775,47.51699,9,74,49,35,2,5,2,19,13,17,2,775,4652,9125,13145,108,171,56,90,63,55,77,70
19100010: Ward 10,617,483,1176,3373,303,1372.60346,2474,3048,8817,1045,27.79126,57,89,250,22,224.95144,468,1038,3120,1091,287,814,832,75,24,1735,2894,2385,185,28,13,59,99,17,0,422,1098,1233,128,20,2077.31482,321.23258,6426.10077,1099.26374,173.52058,13.33528,2295.54189,137.45584,481.97883,76,590,1341,1092,75.73356,2507.03132,812,5344,4236,1350,194.78631,38.60573,13,64,123,87,10.47793,384.11123,112,1572,1782,572,161.64049,2472,3479,7399,9358,232,213,3569,2373,69,64,70,65
