ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100001,1,1,1,3,14,1,2,3,9,7,2,5,5,14,7,2,8,21,42,76,1,1,1,2,2,1,1,1,3,2,1,1,2,3,2,2,3,3,3,3,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,3,2,2,3,3,4,4,6,1,1,1,1,1,1,2,2,2,3,2,3,3,14,21,66
19100002,2,4,6,13,11,5,3,5,13,10,1,2,3,7,4,2,7,21,39,79,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,3,3,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,3,3,1,1,1,1,2,2,1,2,3,4,4,5,1,1,1,1,1,1,2,2,2,3,2,3,6,21,12,65
19100003,1,2,3,8,7,3,2,4,11,6,1,2,2,5,4,3,9,23,46,65,1,1,2,2,4,1,1,2,2,2,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1,1,1,2,3,3,1,1,1,1,1,2,2,3,4,4,4,6,1,1,1,1,1,1,2,2,2,3,2,2,6,18,8,72
19100004,1,1,2,3,21,1,2,3,9,4,2,3,3,11,4,2,5,10,23,24,1,2,2,3,4,1,1,1,2,2,1,1,2,3,2,1,2,2,3,2,1,1,1,1,1,1,2,1,1,1,2,2,4,4,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,3,3,1,1,1,1,1,1,1,2,2,2,2,2,31,15,20,38
19100005,2,5,6,15,21,4,2,4,13,8,1,2,3,5,2,3,11,29,54,73,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,3,3,3,2,1,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,3,5,5,4,9,1,1,1,1,1,1,2,3,2,4,2,3,3,12,7,82
19100006,1,2,2,5,6,4,8,12,33,16,1,1,2,2,3,1,3,6,9,8,1,2,2,1,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,3,2,2,2,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,5,3,4,38,51,3,12
19100007,6,20,35,78,85,1,12,23,64,56,1,1,2,3,2,1,1,3,4,6,1,1,1,1,1,1,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,2,93,4,5
19100008,2,5,6,16,10,4,3,4,14,9,1,1,2,3,2,3,10,18,44,46,1,1,2,2,3,1,1,2,3,4,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,3,3,1,1,1,1,1,1,2,2,3,4,4,7,1,1,1,1,1,1,2,2,2,3,2,2,10,24,4,66
19100009,2,6,9,21,15,4,11,23,57,72,1,2,3,4,5,1,1,2,2,2,1,1,1,1,1,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,3,95,4,3
19100010,1,1,1,3,12,1,8,15,42,45,1,2,3,6,5,2,3,11,15,31,1,1,2,1,3,1,2,3,2,3,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,3,2,1,2,2,4,3,4,1,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,2,3,2,3,11,63,8,22
